,Name,Review,Stars,Sug/Com
0,Praveen Thakur,"
कहानी जो रोमांचित करती है


बंगाल त्रासदी के समय जब बंगाल मुगलिया सल्तनत थी उस समय साधुओं की संतान सेना ने किस प्रकार एक जुट होकर युद्ध की कमान संभाली और हिंदू राज्य स्थापित करने की उम्मीद में क्या उन्हें सफलता मिली? ये किताब कहीं दुख के दृश्यों से कलेजा छलनी कर देती है तो कहीं वीरता का अद्भुत गुणगान कि उठकर आपका नारे लगाने का मन करे। यदि भारत को राष्ट्रीय गीत देने वाली किताब आनंद मठ नहीं पढ़ी तो कुछ नहीं पढ़ा भारतीय होकर।
",5.0 out of 5 stars,1
1,उज्ज्वल मिश्रा,"
राष्ट्रवाद की भावना से ओतप्रोत


यह पुस्तक 1770 से 1774 के समय पर आधारित है। जब बंगाल पर मलेच्छों का शासन हुआ करता था और अंग्रेज व्यापार करने के बहाने भारत में प्रवेश कर चुके थे। भयानक अकाल पड़ा था, चारों दिशाओं में मृत्यु अपना तांडव कर रही थी। लेकिन उस समय भी कुछ सन्यासी थे जिन्होंने अपने सन्यासी रूप से 'सतो गुण' का त्याग कर भारत माता को मलेच्छों से मुक्त कराने के लिए 'संतान सेना' बनाई। 'संतान सेना' में वही लोग थे जिन्होंने अपने आप को सभी बंधनो से मुक्त अपना सर्वस्व भारत माता के चरणों में अर्पित कर दिया था। इस युद्ध के बीच दो ब्रह्मचारी संतानों, जीवानंद और शांति, की पवित्र प्रेम कहानी का सुंदर चित्रण है।कुल मिला कर बहुत बढ़िया पुस्तक... एक और बात! भारत का राष्ट्रगीत वंदे मातरम इसी पुस्तक से लिया गया है।
",5.0 out of 5 stars,1
2,devesh,"
Wrong years printed.


पेज संख्या 29सन 1756 में प्लासी का युद्ध हुआ लेकिन किताब के अनुसार  1173 में ही मीरजाफर का जिक्र है, साथ ही अंग्रेजों का आगमन के बाद 31 दिसंबर 1600 से चार्टर एक्ट के बाद व्यापार की इजाजत मिली जबकी किताब 1173 में ही बंगाल का दीवान बताती है।पेज संख्या 16-17 पर भी अकाल और सूखे के बारे तथ्य सही नहीं हैं।
",1.0 out of 5 stars,0
3,Ajay verma,"
वंदे मातरम्


एक बार तो सबको यह पुस्तक पढ़नी चाहिए। और अपने दोस्तो को भी दे पढ़ने के लिए। इसका review में कर सकू इतना बड़ा नही हु मैं। वंदे मातरम्। जय भारत माता 🙏
",5.0 out of 5 stars,1
4,"Alok Kumar Singh ""हिमालय वाले""","
करुणा और साहस


ये किताब हो सके आपको रुचिकर ना लगे परपढ़ के देखो यारअदम्य साहस और सन्तान सेना की करुणा, वीरता और मातृ प्रेम से ओत पोत किताब।बंकिम चंद्र चटर्जी ने...👌👌👌💐💐💐
",5.0 out of 5 stars,1
5,Omprakash sharma,"
बेस्ट हिंदी बुक, आनन्द मठ,


ओमप्रकाश शर्मा, होटल लोटस,खरगोन, अमेजन की बेस्ट बुक, आनन्द मठ जरूर ले
",5.0 out of 5 stars,1
6,Somdatt lodhi,"
राष्ट्र के प्रति एक अच्छी पुस्तक


राष्ट्र के प्रति जो विक्रम चटर्जी ने लिखा है इस पुस्तक आनंद मठ में उसका वर्णन मैं इस छोटे से कोलंबी नहीं वर्णन कर सकता हूं बहुत ही अच्छी पुस्तक है
",4.0 out of 5 stars,1
7,Sunil kumar,"
Good book


बंगाल के सन्यासी विद्रोह का बहुत ही सुंदर चित्रण किया गया है, सभी को यह किताब जरूर पड़नी चाहिए
",5.0 out of 5 stars,1
8,Rahul Kumar Ranjan,"
जनमानस के पटल पर छा जाने वाली बुक है


अच्छी बुक है
",5.0 out of 5 stars,1
9,Pankaj Kumar pal,"
यह किताब हर एक क्रांतिकारी को पढ़नी चाहिए


इस किताब से काफी कुछ सीखने का मिलता है वंदे मातरम
",5.0 out of 5 stars,1
