,Name,Review,Stars,Sug/Com
0,rohit tiwari,"
Good


ठीक है प्राइस के हिसाब से प्रोडक्ट अच्छा है
",4.0 out of 5 stars,1
1,Vijay Singh,"
Cheat with me


मैं पहले ही पैसा प्रीपेड कर दिया था लेकिन पुनः डिलीवरी के समय 161रु देना पड़ा।
",1.0 out of 5 stars,0
2,Rahul Rathod,"
Very Great Product..






                    The media could not be loaded.
                



 Bohot Accha facewash hai.. Yahaa store me ye facewash 360 ka milta hai vahi amazon par 227 me mila
",5.0 out of 5 stars,1
3,Mohommad Muneeruddin,"
Sasta daam sasti quality


Use karne ke baad bhi chiknahatRahti h
",3.0 out of 5 stars,1
4,Shoaib Khan,"
1 saal purana de Diyaa


Bit older
",4.0 out of 5 stars,1
5,Faisal,"
product


theek hae
",5.0 out of 5 stars,1
6,Amazon Customer,"
सही है।


सही है
",4.0 out of 5 stars,1
7,Abdul Bari Shaikh,"
सुरक्षित


भरोसेमंद
",5.0 out of 5 stars,1
8,Sonu,"
Nice product


Face wash + face wipes order Kiya tha,only facewash prapt hua, face wipes nahi the☹️
",2.0 out of 5 stars,0
9,Mini j.,"
My favorite! Best product👌❤️


No doubt buy kro.. mast hai use krne ke baad ekdam fresh feel hota hai👌👌
",5.0 out of 5 stars,1
10,Aijaz,"
Good


Acchha h
",5.0 out of 5 stars,1
11,Sanidhya ghorse,"
Product quality very low.


Bhaut hi ghatiya quality ka h. Itna patla h ki jhag bhi nhi bn pa raha hai.
",1.0 out of 5 stars,0
12,sher Singh,"
Acha hai koi Kami nhi hai


Nice product
",5.0 out of 5 stars,1
13,Devkubhai. Ahir,"
Kum aaya hai


Aadha aaya hai
",3.0 out of 5 stars,1
14,PRIYENDRA KUMAR,"
very good


bahut accha aur time se pehle diya 2 days mai thankyou amazon
",5.0 out of 5 stars,1
15,Diksha kumalta,"
Nice but broken


Product to shi h pr tuta huwa aaya
",4.0 out of 5 stars,1
16,Manish,"
पोडक्ट अच्छा नही है


इस प्रोडक्ट का उपयोग करने पर त्वचा रूखी हो जाती है ।
",2.0 out of 5 stars,0
17,Abu T.,"
Product is very best


Product bhot bhot hi accha hai
",5.0 out of 5 stars,1
18,Dolly,"
Price bhi bht pasand aya aur product bhi excellent 👌👌👌👍






                    The media could not be loaded.
                


",5.0 out of 5 stars,1
19,Vikash,"
Good


गजब का सामान है
",4.0 out of 5 stars,1
20,vijay raj meena,"
Achcha hai


I like
",1.0 out of 5 stars,0
21,Sushil Chaudhary,"
300 ml नहीं है


इसके अंदर फेस वॉश कम हैपूरा 300 ML नही है
",3.0 out of 5 stars,1
22,Omprakash,"
Amazon delivery bahut fast hai


Moon face wash karne ke liye liya hai
",5.0 out of 5 stars,1
23,Ajit kumar,"
Himalaya face wash best quality lowest price


Thik thak hai average
",4.0 out of 5 stars,1
24,rajput computer,"
GOOD


कम दाम में अच्छा सामान
",5.0 out of 5 stars,1
25,sandeep verma,"
Chemical product


बकवास है बिल्कुल नीम का कोई वो नही है सिर्फ chemical है
",1.0 out of 5 stars,0
26,Aatish mishra,"
Good 👍


Badhiya best ret
",5.0 out of 5 stars,1
27,ANJAN KUMAR,"
बेस्ट


Best
",5.0 out of 5 stars,1
28,RamBabu patidar,"
अच्छा है


अच्छा प्रोडक्ट है
",5.0 out of 5 stars,1
29,MD. SHAMEEM,"
अच्छी क्वालिटी


फेयरनेस के है लिए
",5.0 out of 5 stars,1
30,ashok yadav,"
Hundred percent


यह अच्छा प्रोडक्ट है
",5.0 out of 5 stars,1
31,Ram Pathak,"
वाह अति उत्तम


बहुत ही अच्छा for all type skins
",5.0 out of 5 stars,1
32,Gourav kumar,"
Bhut आच्छा h lekin kam krega to or luga 🤣🤣😘😘😘😘


Mast
",4.0 out of 5 stars,1
33,Manoj,"
Himalaya ke facewash se din par face fresh


Excellent product for facewash
",5.0 out of 5 stars,1
34,Uday pratap ,"
Super product


Mast hai bhai
",5.0 out of 5 stars,1
35,Praveen kumar kanaujiya,"
Normal


Us kiya hai to thora lwo hai
",1.0 out of 5 stars,0
36,Sourav,"
साथ में वाइप्स नही मिलीं


साथ में वाइप्स नही मिलीं
",2.0 out of 5 stars,0
37,Priya singh,"
Good


Achcha h
",4.0 out of 5 stars,1
38,Laljigupta173@gmail. com,"
Taajgi se bharpoor


Bahut hi natureral hai taajgi se bharpoor
",4.0 out of 5 stars,1
39,asha singariya,"
One Star


bakwas
",1.0 out of 5 stars,0
40,R.k,"
good


pimples or acne ke liye best h
",5.0 out of 5 stars,1
41,Kasturi Kiran,"
Chalega


Nice
",3.0 out of 5 stars,1
42,Radhika yadav,"
👍👍👍👍sahi hai


Superb awesome product
",4.0 out of 5 stars,1
43,Amazon Customer,"
good


Badiya hai aise local shop pe to 50 ml 60/- ka milta h but yaha 300ml 195/- me mil rha hai .so it's good deal ...
",4.0 out of 5 stars,1
44,Maneesh kumar,"
बब


नेक नेक ठीक है
",1.0 out of 5 stars,0
45,Savita b.,"
Bahut bekar item hai ye skin kharab kar di isne


Bekar hai bilkul
",1.0 out of 5 stars,0
46,Akhtar Javed,"
Tod tad ke na bhejiye


फेस में दाना के लिए
",3.0 out of 5 stars,1
47,Goutam,"
Good


Thik thak hai
",5.0 out of 5 stars,1
48,Radheshyam meena,"
मुझे इस प्रोडक्ट को खरीद कर बहुत अच्छा लगा


वेरी गुड प्रोडक्ट नीम फेस वॉश
",5.0 out of 5 stars,1
49,Rudranath Gupta,"
Rudranath Gupta


Good product thanks amezon
",5.0 out of 5 stars,1
50,kuldeep Soni,"
Normal


Bahut patla liqed h
",4.0 out of 5 stars,1
