,Name,Review,Stars,Sug/Com
0,Sumit ,"
Review padhlo, dil se likha h


This is for all those in search of genuine review.Taste is horrible, I've used musclebaze, prostar ultimate nutrition, Zomato whey... They all tastes good.This one's horrible with taste, raw hi lelo isse acha, foams itne h ki khatam ni hote, chahe 4 bar pani daal lo shaker mei... Foams khatam ni hote.As for the results, zero visible results, saste hai, acha nahi lekin.Kam paise h toh diet achi karlo, eggs n chicken.Paise h toh ON ya nitrotech jaisa koi acha brand lo... Paisa faltu ka ni lete wo, yeh toh saste k naam pe loot rahe hai
",1.0 out of 5 stars,0
1,Suvankar Das,"
Good product very sweet flavour






                    The media could not be loaded.
                



 Very good product, main 3 mahine se isko use kar raha hu, mere ko jo protein chahie o regular whey gold se mil raha hai, main a product 3 mahine se use kar raha hun aur mera 3-4 kg weight bhi bar gaya, aap log bhi use kariye bahut achcha products hai.
",5.0 out of 5 stars,1
2,Rohit kumar,"
This protein is not good


Paani mai disolve nh hota thik sai paani mai protein ki mote mote bubble ban jaate hai tasteless hai zero effective first time order kiya tha maine tb acha protein aya tha but next time aya hai is bar bhut hi 4th quality local protein aya hai Friends meri advice hai isko mt lena apne paise kisi ache protein mai kharch karo na ki isme
",1.0 out of 5 stars,0
3,Ajay Vishwakarma,"
Great Product Go For It!


Jo bhi isko extremely sweet bol rhe h ya tohh unhe sugar hai,ya fir original or fake mein difference nhi pta, ya fake aa gya h unke pass....bilkul sweet nhi h...originality check ke liye proper steps h unhe follow kro khane se pehle...n again m saying bilkul meetha nhi h ye....-:..frotein bhi use kr rkha hai maine wo bhi BM ka hi h wohh isse khii zyada sweet hai...ye almost feeka hai...-::Go For It...
",5.0 out of 5 stars,1
4,KALPESH,"
Bekaar product


Bekaar product, pl don’t buy, save ur money..Ekdamm ghatiyaa product,Zero service, kharido khuchh aur, nikle andar se kychh aur….Amazon wale bhi koi help nhi karengee
",1.0 out of 5 stars,0
5,PANKAJ K.,"
Disappoint


Lumps bahut bnte hai i don't know ye original hi tha ya nhi..but not satisfied at all..is se achha to 500 600 Mila k koi or achha unhi ki site se le lo.. totally ghtiya .. don't put your body on risk..
",1.0 out of 5 stars,0
6,Nitin sharma,"
Bekar protein koi mat use krna


Ekdam bekar ha mix bhi ni hota taste bhi bekar ha or protein lene ke baad bloating hoti ha kafi bhaara bhaara ho jata ha stomach koi mat lena ye bekar protein
",1.0 out of 5 stars,0
7,MOHAMMAD SABIR,"
Rait nikla hai ander se






                    The media could not be loaded.
                



 Rait nikla hai bhai
",1.0 out of 5 stars,0
8,Gagandeep singh,"
Fraud big muscle nutrition


Do not buy big muscle product. YouTube dekha to pata chala ye big muscle wale whey protein bool ke carbs bach rahe hai. Inke whey protein ke lab report me protein bhut he kaam hai. Check de video in youtube.
",1.0 out of 5 stars,0
9,Naresh rajwani,"
Test


Main Rocky Road liya iska Swad Bournvita Ki Tarah he product mein Main Jhag bhi bahut he Iske pahle main cookie cream liya tha uska Swad Sahi tha Agali bar mein kisi aur company  k sath Jana Chahunga isolate protein ke liye
",4.0 out of 5 stars,1
10,kash khan,"
इस का स्वाद बहुत ही हटिया ही मुझे तो फर्स्ट टाइम उल्टी गई थी । मन चॉक फ्लावर मगया था pr वनेला agya


इस का स्वाद बहुत ही हटिया ही मुझे तो फर्स्ट टाइम उल्टी गई थी । मन चॉक फ्लावर मगया था pr वनेला agya।। Result accha hi  he pr ab ap ko test hi accha nhi ayga ap acche se use nhi kr pyge । । । । ।।  ।
",3.0 out of 5 stars,1
11,Inder,"
Test is very bad ☹️Bhai kisi ka bhi review dek k mat lo


Bhai koi bhi Mt lo bot bakwas protein h protein k nam p dabba h isko Mt lo bigmuscles aur bhi protein h wo shi h ye bakwas h
",1.0 out of 5 stars,0
12,Santosh Rayjada,"
Pure duplicate


Duplicate product.. koi faida nhi hota h es product se....bilkul duplicate h...
",1.0 out of 5 stars,0
