,Name,Review,Stars,Sug/Com
0,sukendra Narayan Mishra,"
Camra quality  is bust






                    The media could not be loaded.
                



 Phone ki camra quality  bahut kharab hai low light main to bilkul bekar hai .jaise dikhya gya hai 50mega pixal 10 mega pixal quality  bhi nahi hai and front camra to bilkul bekar hai. Jab main complaint ki to amazone ki traf se koe support nahi mila or kehte hai eski quality  ese hai main sagest karuga ese electonic product market se check  karke hi purchase  kare kyu ki amazone last main bolega sorry quality  ke liye ham support  nahi karege .jaisa dekh rahe hai video usse bhi jada bura hai .
",1.0 out of 5 stars,0
1,Rituraz kalita,"
3⭐⭐⭐ bekar camera📷


3star⭐⭐⭐ camera ekdm bakwas hai front camera 📷 nam kahi 8mp hai, our 50mp v sticker sipkaya hai 13 kahi hoga andar, , display lcd low price wala,#thouch speed atssa hai, 🔊 thik thak atssa hi hai,ha battery🔋 great👍 our extra advertising app preinsttall nehi ye bhut atssa hai great👍👍👍
",3.0 out of 5 stars,1
2,Deepak Chauhan,"
Please do not buy very poor quality redmi note 10 prime please don't buy camra sab sb hai m n liya


Please do not buy very poor quality redmi note 10 prime please don't buy camra sab se khrab hai m n liya hai bhut ghatia quality hai is  ek  selfee is me not 8. Ki hai 10 ki hai. Sab se  khrab quality hai resmi note 10prime  voice double jati hai call pe
",1.0 out of 5 stars,0
3,Muhammed  Shuhaib MP,"
Poliyenne


Great
",3.0 out of 5 stars,1
4,SULENDRA KUMAR,"
बहुत ही शानदार बेहतरीन और जबरदस्त मोबाइल फोन हमें प्राप्त हुआ है अमेज़न धन्यवाद अमेजॉन टीम को


Amazon Prime all team ko dhanyvad thank you mobile phone bahut hi Sundar aur shandar behtarin majboot hai tikau hai lambi samay Tak dikhao hone ka sambhavna hai Jay Gurudev Mangal Kamna karte hain naye varsh ki aap sabhi ko frame Amazon ko naye varsh ki dher sari shubhkamnaen Mangal Kamna hai dhanyvad
",5.0 out of 5 stars,1
5,Shubham singh,"
I can't believe, Camera is worst


Believe me if you want to buy a camera phone it's worst phone i ever use ,मेर पे विश्वास करिये यह कोई पेड रिव्यु नही है ।।
",2.0 out of 5 stars,0
6,manoj kumar,"
Bahut bekar Hai Amazon Mujhe product Wapas karna tha na ko


Amazon ki delivery bilkul bekar hai and Ud phone level kiya tha usko Wapas karna tha mujhe ismein camera kharab hai split Sahi Nahin Hai abhi tak Wapas nahin kiya Gaya Hai Mere request dalne per bhi call bhi nahin aati customer ki na number dete Hue log
",1.0 out of 5 stars,0
7,Sudhir Kumar,"
Agar kisi ne ye phone liya to unka rupiya dub gya samjho






                    The media could not be loaded.
                



 Fingerprint reader not working after 1 day camera very bad battery life 2-3hr
",1.0 out of 5 stars,0
8,Vishwajeet nishad,"
Mobile band ho gya hai


Ye mobile acha nhi haiAbhi 5 months ho gye mobile liye aur ye mobile halka sa bend ho gya hai..Redmi ka mobile band ho ja rha hai koi buy kre to en bato ka dhyan dena....
",4.0 out of 5 stars,1
9,Pritesh maurya,"
bgmi testing kar raha tha smooth settings pe bhi lag kar raha hai gamers  ye wala phone mat lena


Company wale beimani kar rahe hai 2 gb expendable ram bol toh hai per vo kaam hi nhi karta aur 2 gb ne bajaye 1 gb ka hi option diya hai game lag kar raha hai bgmi khelne per smooth pe bhi game lag kar raha hai
",1.0 out of 5 stars,0
10,Nitin Saxena,"
Normal phone


ठिक ठाक सा फोन हैं। सारे ऐंड्रॉयड एक जैसे ही होते हैं।कुछ खास नहीं हैं।
",2.0 out of 5 stars,0
11,irshad Mohammad,"
Redmi 10 Prime...


Jaisa bataya gya h phone ki features k baare me waisa nhi h phone bss normal h koi features iske bohot ache nhi h.... Or phone ka prosessor bohot ganda h phone hang krta h bohot.
",1.0 out of 5 stars,0
12,Sohail,"
I dont like this mobile


Phone ekadam bakwas hai hai bahut hang Hota Hai range Nahin rahata Hai network Nahin pakdata Hai call call per voice Nahin Aata Hai I don't like this phone😡😡😡😡
",1.0 out of 5 stars,0
13,Amaresh Kumar,"
Redmi series ka sbse ghatiya camra quality hai....isse to better redmi 1s ka camra tha.


Bs naam ka 50 MP camra hai. iski qualify VGA camra jaisi hai. Amazon ne bina tsting k apne portal pe launch kaise kr diya is product ko Or ab mai Amazon pe RTI Claim krne ja rha hu.
",1.0 out of 5 stars,0
14,Avtar Singh,"
Barrety and Camera sab se Gatiya hai


Barrety and Camera sab se Gatiya haiIs jayada Gatiya quality nahi milegi Or mobile main.thanks
",1.0 out of 5 stars,0
15,RAHUL SINGH,"
RAHUL SINGH


RAHUL SINGH
",5.0 out of 5 stars,1
16,Vikas,"
Thoda bahut Achcha hai


Fingerprint to theek hai battery backup theek hai thoda mobile hang kar raha hai Baaghi aur sab theek hai camera is ka fatafat aa raha hai zoom karne per
",2.0 out of 5 stars,0
17,Amazon Customer,"
Wah Kya Baat Hai


Mast
",4.0 out of 5 stars,1
