,Name,Review,Stars,Sug/Com
0,Nand Kishor Dhakar,"
Thanks 🙏🙏 or kuch nhi bol sakta


Mobile ka battery backup or cemara bahut hi kharab h mene phone ko wapis karne k liye dekha to bolte h ki time nikal gya h 25 September ko mobile delivered hua or 26 ko time nikal gaya bol diya h i am very very sad 😭😭😭😭 but kuch kr nhi sakta hu price bhi 9500 le liya or ab kuch nhi kr sakte hai west of money and i don't like Amazon facility mene jab jab bhi kuch bhi itam magaya wo kuch na khuch problem nikalta h any timeThanks for Amazon
",1.0 out of 5 stars,0
1,ajay,"
बेकार फ़ोन है


Redmi 9 active बहुत ही घटिया फ़ोन है इसका कैमरा बहुत ही घटिया है Downloading स्पीड बहुत slow है इसका auto rotet stop नही होता है जिस तरफ फोन घुमाओ उस तरफ video घूमता रहता है इससे अच्छा तो मे इस बजट में samsung का कोई  भी फ़ोन ले लेता बो बढ़िया था क्योकि में samsung j2pro चला रहा हूँ मेरे पैसे बेकार चले गए इस फ़ोन को नाही खरीदो तो ही ठीक है
",1.0 out of 5 stars,0
2,Anil Singh,"
Nice mobile


Nice mobile..but updated karke ke baad .. automatically switch off and on ho ja raha hai..Agar fir kisi ke saath ho to ek baar sim card nikal kar fir se on kariyega thik ho jigai.Otherwise nice mobile..But delevery man is very rude..Just like so busy
",1.0 out of 5 stars,0
3,KUMAAR MN,"
Nice one finger sensor


असल में यह फोन मेरी बुआ का जिसे मैंने एमाज़ॉन से औडर किया थाहमें यह फोन बहुत पसंद आया है आप सभी को इसे जरूर आपने इसतेमाल में लेना चाहिए ॥धन्यवाद एमाज़ॉन॥
",5.0 out of 5 stars,1
4,Vakeel kumar,"
कोई भी साइट पर जाते हैं तो तुरंत अपने आप बैठ कर देता है क्यों


सब कुछ तो ठीक है साइट पर जाने से अपने आप टाइप हो जाता है कि डिस्ट्रिक्ट साइट पर या कोई भी साइट पर जाने पर अपने आप क्रोम ब्राउजर से बैठ कर देता है या उसी पर रुक जाने से हल करने लगता है तो नहीं करता है रुक जाता है कुछ देर बाद काम करता हूं तब तक करेंगे
",2.0 out of 5 stars,0
5,Alok Singh,"
redmi k phn best hote h


overall redmi note 9 acha option hai km price rang m bs back cover case ni milta h box k ander jo redmi walon ko dena chahiye tha
",3.0 out of 5 stars,1
6,Jagannath Das,"
Ghatiya bekar


Bill missing hai bil nahin diya aap logon ne Mujhe seal pack phone chahie abhi naya phone hai abhi se itna garam ho raha hai dabba kya kavvari se utha kar diya tha aap logon ne yah phone returned le lijiye aur seal pack phone dijiye bilkul naya
",1.0 out of 5 stars,0
7,Ansari Aatif,"
बस सही है मगर ज़्यादा नहीं


बस 8500Rs तक सही है आगे रैट पर नहीं
",1.0 out of 5 stars,0
8,kapil dangi,"
बहुत शानदार मोबाइल है, बजट में भी है,


बहुत अच्छा है, लेकिन कैमरा क्वॉलिटी सही नही है, ब्राइटनेस थोड़ी कम है, और कभी कभी गूगल में लिंक ओपन करते समय हैक हो जाता है, परंतु बहुत अच्छा मोबाइल है, बजट में भी है, मुझे इससे अच्छा इतने कम रेट में कोई सा भी मोबाइल नही मिला,
",3.0 out of 5 stars,1
9,Amazon Customer,"
मोबाइल में बैक कवर नही मिला बाकी सब कुछ अच्छा है


बैटरी अच्छी है फिंगर अनलॉक बहुत अच्छा है यह बहुत पतला है और कीमत भी अच्छी है बहुत बड़ी रेडमी mi redmi 9Good productलेकिन Amazon ने बैक कवर नही दियामोबाइल बॉक्स में खाली कवर का खोल रख दिया
",3.0 out of 5 stars,1
